class, NOCom, NCLOC, DCP,,x,,,y,,,x*y,,z,,,x*z,,,,,,,m_nocom,m_ncloc,m_dcp,,,,,rank_nocom,rank_ncloc,rank_dcp,,d_nocom_ncloc^2,d_nocom_dcp^2
./src/main/java/org/jfree/chart/text/TextBox.java,8,204,46.03,,1.257911392,1.582341071,,58.96044304,3476.333843,,74.167013,,-17.44136076,304.2010652,,-21.93968639,,,,,,,,,,,74.167013,-21.9396864,,165,133,530,,1024,133225
./src/main/java/org/jfree/chart/text/TextFragment.java,9,126,52.99,,2.257911392,5.098163856,,-19.03955696,362.5047293,,-42.98963257,,-10.48136076,109.8589234,,-23.66598386,,,,,,,,,,,-42.98963257,-23.66598387,,139,220,413,,6561,75076
./src/main/java/org/jfree/chart/text/TextLine.java,10,108,51.35,,3.257911392,10.61398664,,-37.03955696,1371.92878,,-120.6715946,,-12.12136076,146.9273867,,-39.49031931,,,,,,,,,,,-120.6715946,-39.49031931,,109,248,436,,19321,106929
./src/main/java/org/jfree/chart/text/TextMeasurer.java,4,4,90.91,,-2.742088608,7.519049932,,-141.039557,19892.15663,,386.7429624,,27.43863924,752.8789233,,-75.23918008,,,,,,,,,,,386.7429624,-75.23918007,,380,617,41,,56169,114921
./src/main/java/org/jfree/chart/text/TextUtils.java,6,393,43.78,,-0.742088608,0.550695502,,247.960443,61484.38131,,-184.0086199,,-19.69136076,387.7496886,,14.6127345,,,,,,,,,,,-184.0086199,14.61273449,,259,49,554,,44100,87025
./src/main/java/org/jfree/chart/title/CompositeTitle.java,8,97,56.5,,1.257911392,1.582341071,,-48.03955696,2307.799033,,-60.42950599,,-6.97136076,48.59987085,,-8.769354118,,,,,,,,,,,-60.42950599,-8.76935412,,165,265,360,,10000,38025
./src/main/java/org/jfree/chart/title/DateTitle.java,7,37,75.97,,0.257911392,0.066518286,,-108.039557,11672.54587,,-27.86463257,,12.49863924,156.2159829,,3.223541444,,,,,,,,,,,-27.86463257,3.22354145,,211,417,189,,42436,484
./src/main/java/org/jfree/chart/title/ImageTitle.java,7,176,46.67,,0.257911392,0.066518286,,30.96044304,958.5490331,,7.985050973,,-16.80136076,282.2857234,,-4.333262341,,,,,,,,,,,7.985050973,-4.333262348,,211,163,519,,2304,94864
./src/main/java/org/jfree/chart/title/ShortTextTitle.java,6,119,46.64,,-0.742088608,0.550695502,,-26.03955696,678.0585268,,19.32365857,,-16.83136076,283.294705,,12.49036108,,,,,,,,,,,19.32365857,12.49036107,,259,229,520,,900,68121
./src/main/java/org/jfree/chart/title/TextTitle.java,13,469,41.38,,6.257911392,39.161455,,323.960443,104950.3687,,2027.315747,,-22.09136076,488.0282202,,-138.2457782,,,,,,,,,,,2027.315747,-138.2457782,,51,34,573,,289,272484
